analysis_set,biological_unit,panel,panel_genes,selection_status,normalization,symbol_deduplication,n_expression_features,gene_pool,seed,ctrl_size,n_bins,use_raw,ctrl_as_ref,n_control_genes,relevant_expression_bins,control_set_sha256,scanpy_version,control_gene_order,control_gene,matrix_feature_index_1based,expression_bin,mean_log1p_normalized_expression,fixed_configuration,component_identity_rule,matched_control_status,interpretation_limit
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,11,Alad,7053,17,0.06333467294364105,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,12,Ap1g1,16302,20,0.17930926585711743,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,13,Ap2a1,12616,19,0.1570289579729684,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,14,Ap3d1,14724,20,0.1909613417181777,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,15,Ap3s1,26819,20,0.209739750267094,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,16,Ap5z1,9906,17,0.0712915135115656,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,17,Apba3,14758,17,0.0720538609129104,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,18,Ate1,13828,19,0.15630768157623626,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,19,BC026585,1234,19,0.1122146459467423,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,20,BC029214,1928,19,0.1527072449517111,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,21,BC029722,3610,19,0.11784343540935338,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,22,BC030336,13629,19,0.1356324384888838,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,23,Bahcc1,20984,15,0.02465249168842105,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,24,Bbs7,5336,16,0.03845073662171644,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,25,Bcl2,847,17,0.06913351789450423,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,26,Bivm,280,16,0.02602614290338086,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,27,Bloc1s6os,3176,15,0.0128487677671841,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,28,Borcs5,11439,17,0.05389026294584562,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,29,C030034I22Rik,25579,16,0.027239422609906,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,30,Ccdc181,1307,16,0.03326629858103654,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,31,Ccdc28b,7707,20,0.18097032301947663,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,32,Ccdc93,919,20,0.22391959741406356,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,33,Ccnk,22759,19,0.12450745432109364,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,34,Cdca4,22836,19,0.117700846155436,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,35,Cep350,1214,20,0.17326117952745557,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,36,Cep57,17631,19,0.12746244685941951,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
