control_gene_order,control_gene,matrix_feature_index_1based,expression_bin,mean_log1p_normalized_expression,fixed_configuration,interpretation_limit
1,1700037C18Rik,23762,17,0.05067750431113061,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
12,Ap1g1,16302,20,0.17930926585711743,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
13,Ap2a1,12616,19,0.1570289579729684,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
14,Ap3d1,14724,20,0.19096134171817766,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
15,Ap3s1,26819,20,0.20973975026709402,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
16,Ap5z1,9906,17,0.0712915135115656,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
17,Apba3,14758,17,0.0720538609129104,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
18,Ate1,13828,19,0.15630768157623626,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
19,BC026585,1234,19,0.1122146459467423,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
20,BC029214,1928,19,0.1527072449517111,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
21,BC029722,3610,19,0.11784343540935338,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
22,BC030336,13629,19,0.1356324384888838,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
23,Bahcc1,20984,15,0.02465249168842105,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
24,Bbs7,5336,16,0.03845073662171644,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
25,Bcl2,847,17,0.06913351789450423,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
26,Bivm,280,16,0.02602614290338086,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
27,Bloc1s6os,3176,15,0.012848767767184108,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
28,Borcs5,11439,17,0.053890262945845625,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
29,C030034I22Rik,25579,16,0.027239422609906007,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
30,Ccdc181,1307,16,0.03326629858103654,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
31,Ccdc28b,7707,20,0.18097032301947666,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
32,Ccdc93,919,20,0.22391959741406356,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
33,Ccnk,22759,19,0.12450745432109364,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
34,Cdca4,22836,19,0.117700846155436,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
35,Cep350,1214,20,0.17326117952745557,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
36,Cep57,17631,19,0.12746244685941951,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
37,Chchd5,3256,19,0.13401911808894232,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
38,Chd6,3695,20,0.2242961257853836,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
39,Ciart,5933,15,0.02441264447388308,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
40,Cisd3,20414,16,0.044591290674868146,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
41,Clasrp,11958,19,0.12036405239123338,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
42,Clic4,7839,19,0.1402828520341541,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
43,Cntrl,2181,20,0.2140254599157594,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
44,Cog8,16278,20,0.2023662463115588,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
45,Copg1,10886,20,0.181453884416124,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
46,Coq4,2046,17,0.052357254576899756,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
47,Cpd,20039,19,0.1187608672553334,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
48,Creb3l1,2839,15,0.015209205760963573,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
49,Ctdspl2,3158,19,0.11920284425981041,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
50,Cwc25,20419,20,0.178914901408391,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
51,Cxcl14,21598,15,0.018853764733891686,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
52,Cyb5b,16282,19,0.14065524018323497,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
53,Cyp4f16,25006,17,0.054499082626117135,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
54,D830044I16Rik,13728,15,0.014762346399411016,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
55,Dcp2,26803,19,0.127245093472307,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
56,Ddx39,15977,20,0.18164367220356803,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
57,Ddx46,21586,20,0.1714363186124254,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
58,Ddx56,19117,19,0.12393059715650862,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
59,Depdc7,2924,19,0.126307184087132,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
60,Dgat2,13163,15,0.020591161384008065,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
61,Dlc1,15624,16,0.033088324917752,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
62,Dnajc25,7005,19,0.1481758710762617,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
63,Dus4l,22224,15,0.017393214394353717,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
64,Dusp28,777,15,0.023585968369497015,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
65,E2f6,22149,15,0.021106316816562585,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
66,Eif2b3,7464,19,0.11031732286208197,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
67,Eif2d,975,17,0.06610343414542633,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
68,Elk1,4210,15,0.018919101581048196,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
69,Eml6,19259,16,0.027731351395698725,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
70,Endov,20970,16,0.04533585168147343,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
71,Epb41l4aos,26615,20,0.16957179436834385,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
72,Exoc1,8917,19,0.12499019595373762,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
73,Exosc2,2100,17,0.050282672017291155,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
74,Exosc9,5334,19,0.11011774758926451,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
75,Eya4,14206,15,0.024823228243231497,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
76,Fam206a,6981,16,0.039865897704846276,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
77,Fam219b,18230,19,0.13946333644413073,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
78,Fbxo7,14836,19,0.12170276841093898,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
79,Fem1c,26813,20,0.17025526225558776,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
80,Fkbp14,10557,16,0.03044992482350067,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
81,Flt1,10018,15,0.01543633421278278,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
82,Flt3l,12633,15,0.01660878511769625,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
83,Foxo3,14335,20,0.20528424182395535,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
84,Fpgt,6555,16,0.03338862558731537,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
85,Gab3,4585,15,0.02151716763024543,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
86,Gabpb2,5904,19,0.11052106319847205,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
87,Ggct,10563,16,0.04012430139546025,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
88,Gimap9,10470,17,0.0636534659158357,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
89,Gm14698,4488,19,0.1296720420662478,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
90,Gm15706,11550,16,0.025819115230532874,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
91,Gm16124,18168,15,0.014789485556188845,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
92,Gm26698,22580,15,0.016129153827009458,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
93,Gm26759,16526,16,0.03556936965546992,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
94,Gm26802,11938,15,0.013487037883298462,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
95,Gm3636,16618,17,0.06723471261028227,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
96,Gm43672,5234,15,0.02302813759621214,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
97,Gm8186,24862,17,0.06211300928708155,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
98,Gm9949,26908,15,0.01647913095310963,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
99,Gpm6a,15710,16,0.034531724386664166,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
100,Gpr19,11443,15,0.014421299732680755,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
101,Gpt,23246,15,0.021858901573867395,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
102,Gramd3,26852,15,0.013984624282781022,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
103,Hat1,2417,19,0.1569621016642501,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
104,Hba-a2,19287,15,0.019240709904365504,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
105,Heatr3,16074,17,0.06536550991507047,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
106,Hist2h2aa1,5954,16,0.029759068709670922,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
107,Irf9,17179,20,0.21793333288287714,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
108,Jade3,4199,15,0.019834539910020054,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
109,Josd2,12590,20,0.20477342120408526,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
110,Kbtbd4,2811,16,0.03802638040308939,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
111,Kitl,14942,19,0.11145801205208758,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
112,L3hypdh,22402,15,0.015660392689811634,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
113,Lrrn1,11033,15,0.014195448539422334,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
114,Lsm7,14733,19,0.12667670720242336,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
115,Manba,6381,19,0.11000686415725479,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
116,Map10,16517,16,0.030277037423236966,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
117,Mccc2,21936,17,0.05586473907193308,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
118,Mcm3,95,20,0.18164133711822514,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
119,Mfap1a,3152,20,0.18692036888651473,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
120,Mical3,11184,17,0.05751426157513397,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
121,Mink1,19885,19,0.12464296379498202,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
122,Mks1,20254,17,0.047817645799416636,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
123,Mmadhc,2279,20,0.1877226777129121,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
124,Mmp28,20177,15,0.012766311101068588,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
125,Mplkip,21130,20,0.2223213391426282,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
126,Mrpl2,25383,20,0.2009455207697395,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
127,Mrpl35,10692,20,0.16971108800535883,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
128,Mrpl47,5293,17,0.05204932968808294,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
129,Msra,17321,17,0.06332178029158823,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
130,Mtap,7194,19,0.11534428133956129,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
131,Mtx3,21859,16,0.030787005157325794,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
132,N4bp3,19475,16,0.025835876920268196,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
