"nominal_p_rank","ensembl_id","symbol","raw_umi_C1","raw_umi_C2","raw_umi_C3","raw_umi_S1","raw_umi_S2","raw_umi_S3","base_mean","log2_fold_change","lfc_se","ci95_low","ci95_high","wald_statistic","nominal_p_value","bh_adjusted_p_value","bh_fdr_lt_0_05","effect_direction","n_leave_one_animal_out_fdr_lt_0_05","n_leave_one_animal_out_fdr_lt_0_05_same_direction","fdr_lt_0_05_in_all_six_leave_one_animal_out_fits"
11,"ENSMUSG00000015090","Ptgds",266,396,413,1481,1544,885,748.995119148266,1.21634386454317,0.255334402398575,0.715888435841967,1.71679929324438,4.76372887130373,1.90047825747004e-06,0.00140044131150459,TRUE,"More positive in combined exposure",1,1,FALSE
12,"ENSMUSG00000028793","Rnf19b",2428,1901,3040,2277,3054,2311,2500.1614363939,-0.535032266846916,0.116570929410487,-0.763511288491471,-0.306553245202362,-4.58975723666816,4.43761814383503e-06,0.00294302835299139,TRUE,"More positive in oxygen control",4,4,FALSE
13,"ENSMUSG00000023034","Nr4a1",3947,3623,4559,3228,4635,3774,4040.42258963595,-0.676670514671792,0.148540751975909,-0.967810388544574,-0.385530640799011,-4.55545367631866,5.22726348629444e-06,0.00315156467646406,TRUE,"More positive in oxygen control",4,4,FALSE
14,"ENSMUSG00000034855","Cxcl10",1895,1300,1481,1298,1664,1283,1526.68453544396,-0.754242794430486,0.169393703528489,-1.08625445334633,-0.422231135514647,-4.45260230291638,8.48357977484503e-06,0.00468859175556435,TRUE,"More positive in oxygen control",3,3,FALSE
15,"ENSMUSG00000032487","Ptgs2",168,354,207,154,140,110,216.467725486187,-1.5613203087473,0.352838697346137,-2.25288415554573,-0.869756461948878,-4.42502571427318,9.6430796099614e-06,0.00491945415178954,TRUE,"More positive in oxygen control",1,1,FALSE
16,"ENSMUSG00000046223","Plaur",534,491,672,452,590,541,558.245861047345,-0.698298438153637,0.160755680078071,-1.01337957110666,-0.383217305200618,-4.34384923639718,1.40007617672096e-05,0.00663236086000958,TRUE,"More positive in oxygen control",2,2,FALSE
17,"ENSMUSG00000034854","Mfsd12",119,87,136,263,326,312,190.021328326467,0.821045709260496,0.189898223250879,0.448845191688772,1.19324622683222,4.32360922185033,1.53497089964877e-05,0.00678661800431376,TRUE,"More positive in combined exposure",2,2,FALSE
18,"ENSMUSG00000028341","Nr4a3",69,129,113,62,62,53,90.5472411469026,-1.46844985300529,0.341119606063777,-2.13704428089029,-0.799855425120283,-4.30479464358533,1.67140704675078e-05,NA,FALSE,"More positive in oxygen control",1,1,FALSE
19,"ENSMUSG00000040667","Nup88",596,347,569,392,539,472,489.762458600335,-0.68366393728562,0.160646982934411,-0.998532023837066,-0.368795850734174,-4.25569111101667,2.08404262466797e-05,0.00863835667924874,TRUE,"More positive in oxygen control",2,2,FALSE
20,"ENSMUSG00000030165","Klrd1",73,13,57,8,26,6,31.9695606706107,-2.40055308747176,0.564600943834699,-3.50717093738777,-1.29393523755575,-4.2517695262206,2.12088063166547e-05,NA,FALSE,"More positive in oxygen control",3,3,FALSE
21,"ENSMUSG00000050621","Rps27rt",978,933,1323,845,1311,961,1071.60237428096,-0.663484562918808,0.158035985972253,-0.973235095424424,-0.353734030413192,-4.19831318061506,2.68910566217801e-05,0.0100762087346428,TRUE,"More positive in oxygen control",3,3,FALSE
22,"ENSMUSG00000053560","Ier2",10901,8058,13705,25320,23177,26678,16762.9144546519,0.65060054979278,0.155108181442463,0.346588514165553,0.954612585420007,4.19449537569442,2.73479730433609e-05,0.0100762087346428,TRUE,"More positive in combined exposure",2,2,FALSE
23,"ENSMUSG00000005360","Slc1a3",1456,1247,1654,1159,1818,1386,1468.79353661889,-0.612166491015771,0.150305590139543,-0.906765447689275,-0.317567534342267,-4.07281253110705,4.64488102819641e-05,0.0151931707256125,TRUE,"More positive in oxygen control",2,2,FALSE
24,"ENSMUSG00000054404","Slfn5",8,9,7,42,28,140,34.7410057791676,2.563661957981,0.630381445494404,1.32811432481197,3.79920959115003,4.06684234808075,4.765445797912e-05,NA,FALSE,"More positive in combined exposure",1,1,FALSE
25,"ENSMUSG00000097417",NA,731,631,849,660,876,449,713.217518509884,-0.774470034513588,0.190454624755098,-1.14776109903358,-0.401178969993596,-4.06642808232913,4.77392084015509e-05,0.0151931707256125,TRUE,"More positive in oxygen control",3,3,FALSE
26,"ENSMUSG00000051495","Irf2bp2",2634,2331,3163,1948,3162,2736,2702.11668758732,-0.660486479410939,0.162496076497243,-0.978978789345535,-0.341994169476344,-4.06463031999512,4.81086527801362e-05,0.0151931707256125,TRUE,"More positive in oxygen control",2,2,FALSE
27,"ENSMUSG00000026786","Apbb1ip",2105,1487,2509,3936,4750,3723,2882.03116186351,0.44920547554829,0.111371367012643,0.23091759620351,0.667493354893069,4.03340183026843,5.49751532384564e-05,0.0159749662764171,TRUE,"More positive in combined exposure",2,2,FALSE
28,"ENSMUSG00000013663","Pten",1435,1126,1593,1369,1754,1249,1425.44306862149,-0.526189962331305,0.130697747002491,-0.782357546456186,-0.270022378206423,-4.02600637271335,5.67321519002709e-05,0.0159749662764171,TRUE,"More positive in oxygen control",2,2,FALSE
29,"ENSMUSG00000033307","Mif",1273,1094,1719,1173,1725,1297,1381.31567986552,-0.556482091884695,0.138374195111548,-0.82769551430333,-0.28526866946606,-4.02157419189391,5.7810493159531e-05,0.0159749662764171,TRUE,"More positive in oxygen control",3,3,FALSE
30,"ENSMUSG00000043953","Ccrl2",2496,2407,3273,2554,2584,2706,2731.0054627941,-0.648201100716778,0.161939136418757,-0.965601808097542,-0.330800393336014,-4.00274519829845,6.26117230787243e-05,0.016609637898324,TRUE,"More positive in oxygen control",2,2,FALSE
31,"ENSMUSG00000027962","Vcam1",240,243,306,169,244,255,251.855555532021,-0.846327235850481,0.215666273356069,-1.26903313162838,-0.423621340072586,-3.92424472626361,8.70022585509123e-05,0.0215535690315671,TRUE,"More positive in oxygen control",1,1,FALSE
32,"ENSMUSG00000022548","Apod",127,149,164,413,709,297,277.047472887191,1.02799572088046,0.262097469906568,0.514284679863583,1.54170676189733,3.92218864702095,8.77482454542086e-05,0.0215535690315671,TRUE,"More positive in combined exposure",2,2,FALSE
33,"ENSMUSG00000018102","H2bc4",1438,1102,1529,1405,1236,644,1266.63548969833,-0.90227889243606,0.23224219010597,-1.35747358504376,-0.447084199828359,-3.88507743586279,0.000102297277334915,0.0231602835015282,TRUE,"More positive in oxygen control",2,2,FALSE
34,"ENSMUSG00000015396","Cd83",14857,13977,21427,16981,15904,15859,16764.7217257738,-0.617492559182019,0.158940815322142,-0.929016557213418,-0.30596856115062,-3.88504713487521,0.000102310037009205,0.0231602835015282,TRUE,"More positive in oxygen control",3,3,FALSE
35,"ENSMUSG00000040479","Dgkz",313,245,384,643,745,743,477.08957937969,0.603620019486552,0.155601040096769,0.298641980896885,0.908598058076219,3.87928010706843,0.000104766059265055,0.0231602835015282,TRUE,"More positive in combined exposure",2,2,FALSE
36,"ENSMUSG00000001627","Ifrd1",3044,2698,3581,3225,3277,2992,3185.20912369151,-0.567202106086866,0.146569778383653,-0.854478871718826,-0.279925340454905,-3.86984351304801,0.000108905233958316,0.0232986939229532,TRUE,"More positive in oxygen control",2,2,FALSE
37,"ENSMUSG00000096768",NA,599,723,672,1681,1933,1825,1154.14347062958,0.805399082558633,0.209576986367535,0.394628189278264,1.216169975839,3.84297482523298,0.000121551941312154,0.0251916398369439,TRUE,"More positive in combined exposure",1,1,FALSE
38,"ENSMUSG00000089929","Bcl2a1b",7516,9091,9952,7034,6132,8792,8542.80870244306,-0.878997668328621,0.229199354386943,-1.32822840292703,-0.429766933730212,-3.83507916363788,0.000125523858603511,0.0252264918260148,TRUE,"More positive in oxygen control",0,0,FALSE
39,"ENSMUSG00000038037","Socs1",132,49,135,296,301,261,176.634414660862,0.914573178555285,0.241486613114012,0.441259416851822,1.38788694025875,3.78726243563444,0.000152316199317748,0.02898711335623,TRUE,"More positive in combined exposure",2,2,FALSE
40,"ENSMUSG00000042688","Mapk6",289,239,302,244,329,212,274.131014037635,-0.693995754304348,0.18329684433193,-1.05325756919493,-0.334733939413766,-3.78618495497719,0.000152977829835351,0.02898711335623,TRUE,"More positive in oxygen control",2,2,FALSE
41,"ENSMUSG00000005667","Mthfd2",110,89,94,223,281,395,182.885650547724,1.01960927410239,0.271885197110985,0.486714287764861,1.55250426043992,3.75014632990917,0.000176731408120704,0.0325578527404586,TRUE,"More positive in combined exposure",1,1,FALSE
42,"ENSMUSG00000086290","Snhg12",748,486,755,2125,2044,1075,1101.60142626491,0.81593520289047,0.218179009951619,0.388304343385297,1.24356606239564,3.739751147791,0.000184202524835859,0.0327748981380282,TRUE,"More positive in combined exposure",1,1,FALSE
43,"ENSMUSG00000003308","Keap1",216,135,277,454,527,436,313.903328253945,0.618060955490217,0.165482814965757,0.293714638157333,0.942407272823101,3.73489510447421,0.000187793445302333,0.0327748981380282,TRUE,"More positive in combined exposure",1,1,FALSE
44,"ENSMUSG00000001827","Folr1",11,6,20,1,3,0,7.51384564215386,-3.76363087662455,1.0207120386202,-5.76422647232015,-1.76303528092896,-3.68726020093995,0.000226681538663893,NA,FALSE,"More positive in oxygen control",0,0,FALSE
45,"ENSMUSG00000039361","Picalm",4716,4337,5137,3884,6046,4646,4861.58252429941,-0.590018484808695,0.160380785056312,-0.904364823519067,-0.275672146098322,-3.67886018640905,0.000234278650150988,0.0398393848154193,TRUE,"More positive in oxygen control",1,1,FALSE
46,"ENSMUSG00000060143",NA,1053,708,1139,838,723,1027,935.374288641863,-0.712805020161984,0.196486613393345,-1.09791878241294,-0.327691257911028,-3.62775360545823,0.000285897901266672,0.0474018720300142,TRUE,"More positive in oxygen control",1,1,FALSE
47,"ENSMUSG00000034936","Arl4d",182,95,177,434,382,315,242.896619330006,0.765788529836426,0.213068002613915,0.348175244713151,1.1834018149597,3.59410385624187,0.000325509986950527,0.051839590784339,FALSE,"More positive in combined exposure",1,1,FALSE
48,"ENSMUSG00000003545","Fosb",6394,3895,7614,5084,8110,4002,5793.27476113178,-0.643186496491034,0.179066634335488,-0.994157099788591,-0.292215893193477,-3.59188354032499,0.000328296564074523,0.051839590784339,FALSE,"More positive in oxygen control",1,1,FALSE
49,"ENSMUSG00000049124",NA,111,89,131,77,96,102,104.012612034509,-0.848468976800195,0.236356055372308,-1.31172684532992,-0.38521110827047,-3.58979157721889,0.000330942465521024,NA,FALSE,"More positive in oxygen control",1,1,FALSE
50,"ENSMUSG00000035299","Mid1",86,76,163,435,347,197,196.005427028564,1.04625645076298,0.29198845611078,0.473959076785856,1.61855382474011,3.58321169507481,0.00033939532824055,0.0523458096951472,FALSE,"More positive in combined exposure",1,1,FALSE
51,"ENSMUSG00000058488","Kl",7,8,17,0,2,0,6.52933374564066,-4.59808389520343,1.28689883407231,-7.12040560998515,-2.07576218042171,-3.57299561819719,0.000352920668839076,NA,FALSE,"More positive in oxygen control",1,1,FALSE
52,"ENSMUSG00000097060",NA,63,43,88,32,66,18,53.1075569167,-1.34471889579098,0.377701311707509,-2.0850134667377,-0.604424324844262,-3.56027065331541,0.0003704727555484,NA,FALSE,"More positive in oxygen control",1,1,FALSE
53,"ENSMUSG00000022346","Myc",322,242,385,696,750,599,465.652469962857,0.530981157177077,0.150286107409309,0.236420386654832,0.825541927699322,3.53313533985503,0.000410662185445985,0.0618979912244948,FALSE,"More positive in combined exposure",1,1,FALSE
54,"ENSMUSG00000022747","St3gal6",2536,1951,3125,2468,3496,2601,2669.49819016219,-0.419557276624798,0.119000189325953,-0.652797647703666,-0.186316905545929,-3.52568579093256,0.000422387784810059,0.0619784020742414,FALSE,"More positive in oxygen control",2,2,FALSE
55,"ENSMUSG00000102037","Bcl2a1a",973,1251,1071,824,723,1117,1066.3367815561,-0.937566434432408,0.26627676327271,-1.45946889044692,-0.415663978417898,-3.52102234873642,0.000429886383506499,0.0619784020742414,FALSE,"More positive in oxygen control",0,0,FALSE
56,"ENSMUSG00000097418","Mir155hg",43,84,104,38,46,58,67.2880049325448,-1.31155181452412,0.373084880614973,-2.04279818052947,-0.580305448518775,-3.51542472684026,0.000439051203092456,NA,FALSE,"More positive in oxygen control",1,1,FALSE
57,"ENSMUSG00000097180","2700038G22Rik",59,40,58,147,151,130,89.4334499323895,0.869245216929207,0.248987132440055,0.381230437346698,1.35725999651172,3.49112505698856,0.000480991056538143,NA,FALSE,"More positive in combined exposure",1,1,FALSE
58,"ENSMUSG00000092035","Peg10",127,84,137,89,130,86,110.109835971898,-0.778191678441136,0.223024424041796,-1.21531954956306,-0.341063807319216,-3.48926662084014,0.000484347786894935,NA,FALSE,"More positive in oxygen control",0,0,FALSE
59,"ENSMUSG00000034663","Bmp2k",2438,1883,2745,2157,3099,2574,2474.5791048779,-0.447851077463794,0.129141262234564,-0.700967951443539,-0.194734203484049,-3.46791621604524,0.000524510792803432,0.0730931031051482,FALSE,"More positive in oxygen control",1,1,FALSE
60,"ENSMUSG00000022106","Rcbtb2",1511,1183,1894,1656,1912,1553,1609.01351734639,-0.420697590624934,0.121391918545544,-0.658625750974199,-0.182769430275668,-3.46561447965828,0.000529021252872001,0.0730931031051482,FALSE,"More positive in oxygen control",1,1,FALSE
61,"ENSMUSG00000091803","Cox16",239,163,233,139,245,203,206.310861449201,-0.712437045023059,0.206794855849821,-1.11775496248871,-0.307119127557409,-3.44513910704068,0.000570765575143721,0.0772513733541461,FALSE,"More positive in oxygen control",1,1,FALSE
62,"ENSMUSG00000029343","Crybb1",5620,5698,6010,4388,6402,6260,5894.46484285061,-0.655802766253587,0.191491161356584,-1.03112544251249,-0.280480089994683,-3.42471559317764,0.000615443321093142,0.0816324021097943,FALSE,"More positive in oxygen control",1,1,FALSE
63,"ENSMUSG00000032280","Tle3",557,343,555,487,606,414,492.112755653306,-0.53163712608123,0.155686420791962,-0.836782510833476,-0.226491741328985,-3.41479445270077,0.000638301602138837,0.0817299569117787,FALSE,"More positive in oxygen control",0,0,FALSE
64,"ENSMUSG00000026121","Sema4c",186,112,195,356,379,387,249.907107119408,0.627007086136433,0.183672721005932,0.267008552964807,0.98700561930806,3.41371915602091,0.000640825958898144,0.0817299569117787,FALSE,"More positive in combined exposure",1,1,FALSE
65,"ENSMUSG00000017837","Nkiras2",150,95,166,299,331,302,207.453365008918,0.616169396256857,0.181614625574758,0.260204730130332,0.972134062383382,3.39273004201539,0.000691997996528506,0.0865911455278689,FALSE,"More positive in combined exposure",0,0,FALSE
66,"ENSMUSG00000014599","Csf1",816,767,1039,633,992,965,881.643146176404,-0.622027737947172,0.183758184273048,-0.982193779122347,-0.261861696771998,-3.38503419811166,0.000711693871427817,0.087406551024246,FALSE,"More positive in oxygen control",1,1,FALSE
67,"ENSMUSG00000025068","Gsto1",181,169,266,437,484,473,312.418614017838,0.603086087616342,0.179274899090737,0.251707285398499,0.954464889834186,3.364029714562,0.00076813272536735,0.0926228406297502,FALSE,"More positive in combined exposure",0,0,FALSE
68,"ENSMUSG00000018920","Cxcl16",819,606,1035,817,984,891,853.298551619798,-0.440012272011272,0.1310553438817,-0.696880746019404,-0.183143798003139,-3.35745387390274,0.000786638673432073,0.093160494325027,FALSE,"More positive in oxygen control",1,1,FALSE
69,"ENSMUSG00000003746","Man1a",904,792,1014,870,1049,978,944.266732109614,-0.504835871026988,0.151485253548989,-0.801746967983007,-0.207924774070969,-3.33257435426695,0.00086046474504161,0.098547124331538,FALSE,"More positive in oxygen control",1,1,FALSE
70,"ENSMUSG00000069892","9930111J21Rik2",556,384,716,1169,1209,1025,787.202646988892,0.481693282117555,0.14474572067946,0.197991669585815,0.765394894649296,3.32785853603416,0.000875162943460543,0.098547124331538,FALSE,"More positive in combined exposure",1,1,FALSE
71,"ENSMUSG00000045287","Rtn4rl1",574,363,675,1063,1141,1106,766.641951969769,0.483987745050087,0.145457355834766,0.198891327613945,0.769084162486228,3.32735145825061,0.000876757181107721,0.098547124331538,FALSE,"More positive in combined exposure",1,1,FALSE
72,"ENSMUSG00000058093","Zfp729b",68,35,73,164,170,128,96.6730679369295,0.836211950549686,0.251323235957406,0.343618408073171,1.3288054930262,3.32723692405189,0.000877117645821915,NA,FALSE,"More positive in combined exposure",1,1,FALSE
73,"ENSMUSG00000066975","Cryba4",860,646,965,866,979,881,865.610069769271,-0.439484909053713,0.132268064241514,-0.69873031496708,-0.180239503140346,-3.32268345782425,0.000891560232191236,0.098547124331538,FALSE,"More positive in oxygen control",1,1,FALSE
74,"ENSMUSG00000002325","Irf9",215,168,245,418,471,721,346.840503391485,0.793277964607776,0.239754015960033,0.323360093326111,1.26319583588944,3.30871606647046,0.000937248343994323,0.101898869137219,FALSE,"More positive in combined exposure",1,1,FALSE
75,"ENSMUSG00000051439","Cd14",6865,10337,9569,7336,8723,8679,9019.37084526419,-0.767472133970301,0.233370795925708,-1.22487889398469,-0.310065373955913,-3.28863828452048,0.00100673315365356,0.106564198408994,FALSE,"More positive in oxygen control",1,1,FALSE
76,"ENSMUSG00000029730","Mcm7",69,59,88,168,190,178,115.942401407425,0.73203223661565,0.222683380729236,0.295572810386348,1.16849166284495,3.28732316807126,0.00101144689164179,NA,FALSE,"More positive in combined exposure",0,0,FALSE
77,"ENSMUSG00000020644","Id2",2407,2150,2229,2015,2824,2262,2358.21345233925,-0.569848548245885,0.173359741180169,-0.909633640959017,-0.230063455532753,-3.28708698090206,0.00101229561214817,0.106564198408994,FALSE,"More positive in oxygen control",1,1,FALSE
78,"ENSMUSG00000032470","Mras",389,219,336,207,355,322,307.100710359996,-0.680769106620566,0.20901489029061,-1.09043829159016,-0.27109992165097,-3.25703640383725,0.00112581993419802,0.11666309068127,FALSE,"More positive in oxygen control",1,1,FALSE
79,"ENSMUSG00000044703","Phf11a",2,2,5,20,13,43,12.3896872348673,2.57648463708791,0.793367675420412,1.02148399326391,4.13148528091192,3.24752913045343,0.00116411746875208,NA,FALSE,"More positive in combined exposure",0,0,FALSE
80,"ENSMUSG00000051316","Taf7",563,396,703,1001,1257,1037,772.476513264973,0.416837191512565,0.128712584262231,0.164560526358592,0.669113856666538,3.23851155581902,0.00120155153340334,0.12174887883456,FALSE,"More positive in combined exposure",0,0,FALSE
81,"ENSMUSG00000020528","Prpsap2",592,434,655,555,703,600,587.901773171212,-0.440620511611048,0.136156541184887,-0.707487332333427,-0.17375369088867,-3.23613179195504,0.00121161429479508,0.12174887883456,FALSE,"More positive in oxygen control",1,1,FALSE
82,"ENSMUSG00000030844","Rgs10",14384,9587,17920,15890,17244,13154,14518.4687586253,-0.415791229939603,0.128992656459896,-0.668616836600999,-0.162965623278207,-3.22337132477672,0.00126691204574809,0.124658702500943,FALSE,"More positive in oxygen control",1,1,FALSE
83,"ENSMUSG00000025511","Tspan4",600,521,918,1649,1906,1081,1024.78463261431,0.603388588201824,0.187339024832547,0.236204099530032,0.970573076873615,3.22083766978698,0.00127816522467794,0.124658702500943,FALSE,"More positive in combined exposure",1,1,FALSE
84,"ENSMUSG00000024732","Ccdc86",253,261,288,620,592,741,432.695343068492,0.683247505701772,0.216315553999206,0.259269019863328,1.10722599154022,3.15856854983382,0.00158546017669855,0.152387998432823,FALSE,"More positive in combined exposure",1,1,FALSE
85,"ENSMUSG00000069041","Slc25a31",0,8,18,0,0,1,5.25851030049153,-5.14222858940698,1.63035883832504,-8.33773191252405,-1.94672526628991,-3.15404711437017,0.00161023087708858,NA,FALSE,"More positive in oxygen control",0,0,FALSE
86,"ENSMUSG00000072115","Ang",1724,1527,1924,1367,1801,2067,1767.11908405892,-0.582741907134051,0.184862378761803,-0.945072169507185,-0.220411644760917,-3.15230124721547,0.00161989057836382,0.153473061652984,FALSE,"More positive in oxygen control",1,1,FALSE
87,"ENSMUSG00000021822","Plau",187,119,189,136,212,89,156.445322401405,-0.786212206492047,0.249770154918526,-1.27576171013236,-0.296662702851736,-3.14774279876836,0.00164536397381179,0.153690899638307,FALSE,"More positive in oxygen control",1,1,FALSE
88,"ENSMUSG00000026032","Ndufb3",1051,885,1234,989,1345,1190,1116.15011952527,-0.444803973572988,0.142104566742956,-0.723328924389181,-0.166279022756794,-3.13011737601344,0.00174736468657186,0.160951702796452,FALSE,"More positive in oxygen control",1,1,FALSE
89,"ENSMUSG00000031004","Mki67",34,5,28,5,6,11,15.5069337841257,-2.08335142451029,0.665863060641329,-3.3884430233673,-0.778259825653286,-3.12879861889876,0.00175522558259556,NA,FALSE,"More positive in oxygen control",1,1,FALSE
90,"ENSMUSG00000060586","H2-Eb1",16,41,46,6,26,18,28.1928476831722,-1.71535682243371,0.548342454033743,-2.79010803233984,-0.640605612527569,-3.12825828059658,0.00175845583104219,NA,FALSE,"More positive in oxygen control",0,0,FALSE
91,"ENSMUSG00000046157","Tmem229b",50,28,81,127,167,122,86.0232644650084,0.844860173369733,0.271111255064512,0.31348211344329,1.37623823329618,3.11628587005248,0.00183144635333041,NA,FALSE,"More positive in combined exposure",0,0,FALSE
92,"ENSMUSG00000045010","Gm4779",0,3,1,35,10,13,9.11651628099119,3.2432612303849,1.04097978555165,1.20294085070367,5.28358161006613,3.11558521635095,0.00183580296854704,NA,FALSE,"More positive in combined exposure",0,0,FALSE
93,"ENSMUSG00000000555","Itga5",198,145,205,132,234,170,181.893764147472,-0.637417121280329,0.205178856320639,-1.03956767966878,-0.235266562891877,-3.10664136018099,0.00189225813123405,0.171073018399114,FALSE,"More positive in oxygen control",0,0,FALSE
94,"ENSMUSG00000074794","Arrdc3",739,333,652,407,661,576,558.528451039989,-0.630176785941911,0.20301684905444,-1.02808981008861,-0.232263761795208,-3.10406150463367,0.00190883645378987,0.171073018399114,FALSE,"More positive in oxygen control",1,1,FALSE
95,"ENSMUSG00000022033","Pbk",27,4,30,2,5,10,13.5199214505883,-2.30486745205161,0.743054683119613,-3.76125463096605,-0.84848027313717,-3.10188133445972,0.00192295024973865,NA,FALSE,"More positive in oxygen control",1,1,FALSE
96,"ENSMUSG00000028546","Elavl4",29,15,39,125,100,51,53.2380963090317,1.1964835410661,0.388064324862505,0.435877464335593,1.95708961779661,3.0832093145641,0.00204781063254165,NA,FALSE,"More positive in combined exposure",1,1,FALSE
97,"ENSMUSG00000035107","Dcbld2",79,71,90,52,98,27,72.0043499890199,-1.08913734510462,0.353695983830333,-1.78238147341208,-0.395893216797171,-3.07930368139854,0.00207485066453311,NA,FALSE,"More positive in oxygen control",1,1,FALSE
98,"ENSMUSG00000025779","Ly96",589,425,704,502,643,669,588.22919669032,-0.491351704290546,0.159650232820565,-0.804266160618853,-0.17843724796224,-3.07767608984818,0.00208621541180597,0.184477074814629,FALSE,"More positive in oxygen control",1,1,FALSE
99,"ENSMUSG00000000579","Dynlt1c",558,341,410,413,548,351,441.330953753373,-0.608881770229289,0.198232291214431,-0.997417061009573,-0.220346479449005,-3.07155694210613,0.00212945543735352,0.185823006059586,FALSE,"More positive in oxygen control",1,1,FALSE
100,"ENSMUSG00000030096","Slc6a6",883,593,1018,1479,1911,1434,1141.97029078961,0.374822028181646,0.122202273199399,0.135305572710824,0.614338483652467,3.06722631558616,0.00216055209199621,0.186088071092453,FALSE,"More positive in combined exposure",1,1,FALSE
101,"ENSMUSG00000073421","H2-Ab1",89,145,169,69,166,87,125.919980735822,-0.990991947338459,0.323166368353334,-1.62439802931099,-0.357585865365924,-3.06650705142361,0.00216575699930768,NA,FALSE,"More positive in oxygen control",0,0,FALSE
102,"ENSMUSG00000069678","Pcgf1",40,28,52,104,105,112,67.3412298143005,0.863659811091678,0.281728728280621,0.311471503661661,1.4158481185217,3.06557239072692,0.00217253778337703,NA,FALSE,"More positive in combined exposure",0,0,FALSE
103,"ENSMUSG00000035042","Ccl5",70,26,74,41,35,39,48.3192925407912,-1.07915403502382,0.353253526073165,-1.77153094612722,-0.386777123920415,-3.05489954203686,0.00225135918500418,NA,FALSE,"More positive in oxygen control",0,0,FALSE
104,"ENSMUSG00000098318","Lockd",24,2,7,2,2,1,6.97698861770304,-3.25336818004676,1.0669572627249,-5.34460441498757,-1.16213194510595,-3.04920196310205,0.00229450172906322,NA,FALSE,"More positive in oxygen control",0,0,FALSE
105,"ENSMUSG00000093989","Rnasek",83,36,66,34,58,47,55.0143477389657,-0.985678817538343,0.324195454509542,-1.62110190837704,-0.350255726699641,-3.04038444656642,0.00236276338126869,NA,FALSE,"More positive in oxygen control",0,0,FALSE
106,"ENSMUSG00000060373","Hnrnpc",1347,995,1457,1324,1498,1454,1344.19807174942,-0.409846881706308,0.134965694294276,-0.674379642523089,-0.145314120889526,-3.03667449605888,0.00239203611548348,0.203384404075467,FALSE,"More positive in oxygen control",1,1,FALSE
